epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3179.2,1.42679,1.58105,1.15609,0.33213,0.18236,0.12719,0.08181,1.32656,1.67183,1.13359,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3271.05,1.40649,1.54744,1.1495,0.34407,0.15827,0.11435,0.07262,1.32515,1.72915,1.14395,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3361.75,1.40505,1.54804,1.14788,0.28562,0.1745,0.11463,0.07263,1.31196,1.72637,1.13222,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3452.32,1.37892,1.50018,1.14291,0.27367,0.17253,0.11973,0.07815,1.31416,1.64759,1.13183,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3544.37,1.39395,1.49793,1.14288,0.32966,0.18362,0.12679,0.08231,1.3015,1.64293,1.12845,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3636.36,1.40088,1.52196,1.14326,0.30736,0.17683,0.12771,0.08224,1.31053,1.69597,1.13752,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3727.97,1.40287,1.50744,1.14504,0.36028,0.17494,0.13915,0.09236,1.30078,1.63662,1.13175,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3819.56,1.38477,1.46258,1.14035,0.39766,0.17928,0.1367,0.08964,1.29991,1.64006,1.13462,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3911.04,1.38785,1.4635,1.13977,0.31977,0.16956,0.12956,0.08368,1.29208,1.62555,1.12279,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4003.05,1.38847,1.44456,1.13873,0.32487,0.17527,0.13207,0.08636,1.29477,1.61467,1.12551,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4093.78,1.36871,1.43302,1.13655,0.30875,0.18411,0.13235,0.08536,1.29546,1.61654,1.12296,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4186.36,1.38203,1.43182,1.13291,0.31065,0.1723,0.12659,0.08311,1.28202,1.63713,1.12399,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4278.12,1.36357,1.40199,1.13091,0.3169,0.18078,0.13681,0.09032,1.28569,1.5993,1.123,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4370.32,1.37547,1.39684,1.12982,0.34729,0.16472,0.13798,0.09144,1.27464,1.60731,1.12058,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4461.73,1.37763,1.39031,1.13194,0.35054,0.17361,0.13989,0.09275,1.2804,1.60114,1.1145,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
